"group1","group2","group3","group4","group5","group6","temp","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0312e+14,1.1934e+15,2.9299e+15,1.9844e+15,1.2295e+15,2.79e+14,1020.1,1,0,0,94,0
3.031e+14,1.1933e+15,2.9297e+15,1.9842e+15,1.2294e+15,2.7898e+14,1020.1,1,0.16275,0.16275,94,0
3.0307e+14,1.1932e+15,2.9295e+15,1.984e+15,1.2293e+15,2.7896e+14,1020.1,1,0.3255,0.3255,94,0
3.0305e+14,1.1931e+15,2.9292e+15,1.9839e+15,1.2292e+15,2.7893e+14,1020.1,1,0.48825,0.48825,94,0
3.0302e+14,1.193e+15,2.929e+15,1.9837e+15,1.2291e+15,2.7891e+14,1020.1,1,0.651,0.651,94,0
3.03e+14,1.1929e+15,2.9287e+15,1.9835e+15,1.229e+15,2.7889e+14,1020.1,1,0.81375,0.81375,94,0
3.0297e+14,1.1928e+15,2.9285e+15,1.9834e+15,1.2289e+15,2.7886e+14,1020.1,1,0.9765,0.9765,94,0
3.0294e+14,1.1927e+15,2.9282e+15,1.9832e+15,1.2288e+15,2.7884e+14,1020.1,1,1.1393,1.1393,94,0
3.0292e+14,1.1926e+15,2.928e+15,1.983e+15,1.2287e+15,2.7882e+14,1020.1,1,1.302,1.302,94,0
3.0289e+14,1.1925e+15,2.9277e+15,1.9829e+15,1.2286e+15,2.7879e+14,1020.1,1,1.4648,1.4648,94,0
3.0287e+14,1.1924e+15,2.9275e+15,1.9827e+15,1.2285e+15,2.7877e+14,1020.1,1,1.6275,1.6275,94,0
3.0284e+14,1.1923e+15,2.9272e+15,1.9825e+15,1.2284e+15,2.7875e+14,1020,1,1.7902,1.7902,94,0
3.0282e+14,1.1922e+15,2.927e+15,1.9824e+15,1.2283e+15,2.7873e+14,1020,1,1.953,1.953,94,0
3.0279e+14,1.1921e+15,2.9267e+15,1.9822e+15,1.2282e+15,2.787e+14,1020,1,2.1158,2.1158,94,0
3.0277e+14,1.192e+15,2.9265e+15,1.982e+15,1.2281e+15,2.7868e+14,1020,1,2.2785,2.2785,94,0
3.0274e+14,1.1919e+15,2.9262e+15,1.9819e+15,1.2279e+15,2.7866e+14,1020,1,2.4413,2.4413,94,0
3.0271e+14,1.1918e+15,2.926e+15,1.9817e+15,1.2278e+15,2.7863e+14,1020,1,2.604,2.604,94,0
3.0269e+14,1.1917e+15,2.9257e+15,1.9815e+15,1.2277e+15,2.7861e+14,1020,1,2.7668,2.7668,94,0
3.0266e+14,1.1916e+15,2.9255e+15,1.9814e+15,1.2276e+15,2.7859e+14,1020,1,2.9295,2.9295,94,0
3.0264e+14,1.1915e+15,2.9253e+15,1.9812e+15,1.2275e+15,2.7856e+14,1020,1,3.0923,3.0923,94,0
3.0261e+14,1.1914e+15,2.925e+15,1.981e+15,1.2274e+15,2.7854e+14,1020,1,3.255,3.255,94,0
3.0259e+14,1.1913e+15,2.9248e+15,1.9808e+15,1.2273e+15,2.7852e+14,1020,1,3.4177,3.4177,94,0
3.0256e+14,1.1912e+15,2.9245e+15,1.9807e+15,1.2272e+15,2.7849e+14,1020,1,3.5805,3.5805,94,0
3.0254e+14,1.1911e+15,2.9243e+15,1.9805e+15,1.2271e+15,2.7847e+14,1019.9,1,3.7432,3.7432,94,0
3.0251e+14,1.191e+15,2.924e+15,1.9803e+15,1.227e+15,2.7845e+14,1019.9,1,3.906,3.906,94,0
3.0248e+14,1.1909e+15,2.9238e+15,1.9802e+15,1.2269e+15,2.7842e+14,1019.9,1,4.0687,4.0687,94,0
3.0246e+14,1.1908e+15,2.9235e+15,1.98e+15,1.2268e+15,2.784e+14,1019.9,1,4.2315,4.2315,94,0
3.0243e+14,1.1907e+15,2.9233e+15,1.9798e+15,1.2267e+15,2.7838e+14,1019.9,1,4.3942,4.3942,94,0
3.024e+14,1.1905e+15,2.9229e+15,1.9796e+15,1.2266e+15,2.7834e+14,1019.9,1,4.557,4.557,94,0
3.0234e+14,1.1903e+15,2.9224e+15,1.9792e+15,1.2263e+15,2.7829e+14,1019.9,1,4.7197,4.7197,94,0
3.0228e+14,1.1901e+15,2.9218e+15,1.9788e+15,1.2261e+15,2.7824e+14,1019.9,1,4.8825,4.8825,94,0
3.0222e+14,1.1898e+15,2.9212e+15,1.9784e+15,1.2258e+15,2.7818e+14,1019.8,1,5.0452,5.0452,94,0
3.0216e+14,1.1896e+15,2.9206e+15,1.9781e+15,1.2256e+15,2.7813e+14,1019.8,1,5.208,5.208,94,0
3.021e+14,1.1893e+15,2.9201e+15,1.9777e+15,1.2254e+15,2.7807e+14,1019.8,1,5.3707,5.3707,94,0
3.0204e+14,1.1891e+15,2.9195e+15,1.9773e+15,1.2251e+15,2.7802e+14,1019.8,1,5.5335,5.5335,94,0
3.0198e+14,1.1889e+15,2.9189e+15,1.9769e+15,1.2249e+15,2.7797e+14,1019.8,1,5.6962,5.6962,94,0
3.0192e+14,1.1886e+15,2.9183e+15,1.9765e+15,1.2246e+15,2.7791e+14,1019.8,1,5.859,5.859,94,0
3.0186e+14,1.1884e+15,2.9178e+15,1.9761e+15,1.2244e+15,2.7786e+14,1019.7,1,6.0217,6.0217,94,0
3.018e+14,1.1882e+15,2.9172e+15,1.9757e+15,1.2241e+15,2.778e+14,1019.7,1,6.1845,6.1845,94,0
3.0174e+14,1.1879e+15,2.9166e+15,1.9753e+15,1.2239e+15,2.7775e+14,1019.7,1,6.3472,6.3472,94,0
3.0168e+14,1.1877e+15,2.916e+15,1.9749e+15,1.2237e+15,2.777e+14,1019.7,1,6.51,6.51,94,0
3.0163e+14,1.1875e+15,2.9155e+15,1.9745e+15,1.2234e+15,2.7764e+14,1019.7,1,6.6727,6.6727,94,0
3.0157e+14,1.1872e+15,2.9149e+15,1.9741e+15,1.2232e+15,2.7759e+14,1019.6,1,6.8355,6.8355,94,0
3.0151e+14,1.187e+15,2.9143e+15,1.9738e+15,1.2229e+15,2.7753e+14,1019.6,1,6.9983,6.9983,94,0
3.0145e+14,1.1868e+15,2.9137e+15,1.9734e+15,1.2227e+15,2.7748e+14,1019.6,1,7.161,7.161,94,0
3.0139e+14,1.1865e+15,2.9131e+15,1.973e+15,1.2225e+15,2.7742e+14,1019.6,1,7.3238,7.3238,94,0
3.0133e+14,1.1863e+15,2.9126e+15,1.9726e+15,1.2222e+15,2.7737e+14,1019.6,1,7.4865,7.4865,94,0
3.0127e+14,1.1861e+15,2.912e+15,1.9722e+15,1.222e+15,2.7732e+14,1019.5,1,7.6493,7.6493,94,0
3.0121e+14,1.1858e+15,2.9114e+15,1.9718e+15,1.2217e+15,2.7726e+14,1019.5,1,7.812,7.812,94,0
3.0115e+14,1.1856e+15,2.9108e+15,1.9714e+15,1.2215e+15,2.7721e+14,1019.5,1,7.9748,7.9748,94,0
3.0109e+14,1.1854e+15,2.9103e+15,1.971e+15,1.2212e+15,2.7715e+14,1019.5,1,8.1375,8.1375,94,0
3.0103e+14,1.1851e+15,2.9097e+15,1.9706e+15,1.221e+15,2.771e+14,1019.5,1,8.3003,8.3003,94,0
3.0097e+14,1.1849e+15,2.9091e+15,1.9702e+15,1.2208e+15,2.7705e+14,1019.4,1,8.463,8.463,94,0
3.0091e+14,1.1847e+15,2.9085e+15,1.9699e+15,1.2205e+15,2.7699e+14,1019.4,1,8.6257,8.6257,94,0
3.0085e+14,1.1844e+15,2.908e+15,1.9695e+15,1.2203e+15,2.7694e+14,1019.4,1,8.7885,8.7885,94,0
3.0079e+14,1.1842e+15,2.9074e+15,1.9691e+15,1.22e+15,2.7688e+14,1019.4,1,8.9513,8.9513,94,0
