"group1","group2","group3","group4","group5","group6","temp","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.01e+14,1.1734e+15,2.8792e+15,1.9193e+15,1.1454e+15,2.1969e+14,1011.2,1,0,0,94,0
3.0097e+14,1.1733e+15,2.879e+15,1.9191e+15,1.1453e+15,2.1967e+14,1011.2,1,0.16275,0.16275,94,0
3.0095e+14,1.1732e+15,2.8787e+15,1.9189e+15,1.1452e+15,2.1965e+14,1011.2,1,0.3255,0.3255,94,0
3.0092e+14,1.1731e+15,2.8785e+15,1.9188e+15,1.1451e+15,2.1963e+14,1011.2,1,0.48825,0.48825,94,0
3.009e+14,1.173e+15,2.8783e+15,1.9186e+15,1.145e+15,2.1961e+14,1011.2,1,0.651,0.651,94,0
3.0087e+14,1.1729e+15,2.878e+15,1.9184e+15,1.1449e+15,2.196e+14,1011.2,1,0.81375,0.81375,94,0
3.0085e+14,1.1728e+15,2.8778e+15,1.9183e+15,1.1448e+15,2.1958e+14,1011.2,1,0.9765,0.9765,94,0
3.0082e+14,1.1727e+15,2.8775e+15,1.9181e+15,1.1447e+15,2.1956e+14,1011.2,1,1.1393,1.1393,94,0
3.008e+14,1.1726e+15,2.8773e+15,1.918e+15,1.1446e+15,2.1954e+14,1011.2,1,1.302,1.302,94,0
3.0077e+14,1.1725e+15,2.877e+15,1.9178e+15,1.1445e+15,2.1952e+14,1011.2,1,1.4648,1.4648,94,0
3.0074e+14,1.1724e+15,2.8768e+15,1.9176e+15,1.1444e+15,2.195e+14,1011.2,1,1.6275,1.6275,94,0
3.0072e+14,1.1723e+15,2.8765e+15,1.9175e+15,1.1443e+15,2.1948e+14,1011.2,1,1.7902,1.7902,94,0
3.0069e+14,1.1722e+15,2.8763e+15,1.9173e+15,1.1442e+15,2.1947e+14,1011.1,1,1.953,1.953,94,0
3.0067e+14,1.1721e+15,2.8761e+15,1.9171e+15,1.1441e+15,2.1945e+14,1011.1,1,2.1158,2.1158,94,0
3.0064e+14,1.172e+15,2.8758e+15,1.917e+15,1.144e+15,2.1943e+14,1011.1,1,2.2785,2.2785,94,0
3.0062e+14,1.1719e+15,2.8756e+15,1.9168e+15,1.1439e+15,2.1941e+14,1011.1,1,2.4413,2.4413,94,0
3.0059e+14,1.1718e+15,2.8753e+15,1.9167e+15,1.1438e+15,2.1939e+14,1011.1,1,2.604,2.604,94,0
3.0057e+14,1.1717e+15,2.8751e+15,1.9165e+15,1.1437e+15,2.1937e+14,1011.1,1,2.7668,2.7668,94,0
3.0054e+14,1.1716e+15,2.8748e+15,1.9163e+15,1.1437e+15,2.1935e+14,1011.1,1,2.9295,2.9295,94,0
3.0051e+14,1.1715e+15,2.8746e+15,1.9162e+15,1.1436e+15,2.1934e+14,1011.1,1,3.0923,3.0923,94,0
3.0049e+14,1.1714e+15,2.8743e+15,1.916e+15,1.1435e+15,2.1932e+14,1011.1,1,3.255,3.255,94,0
3.0046e+14,1.1713e+15,2.8741e+15,1.9158e+15,1.1434e+15,2.193e+14,1011.1,1,3.4177,3.4177,94,0
3.0044e+14,1.1712e+15,2.8739e+15,1.9157e+15,1.1433e+15,2.1928e+14,1011.1,1,3.5805,3.5805,94,0
3.0041e+14,1.1711e+15,2.8736e+15,1.9155e+15,1.1432e+15,2.1926e+14,1011.1,1,3.7432,3.7432,94,0
3.0039e+14,1.171e+15,2.8734e+15,1.9153e+15,1.1431e+15,2.1924e+14,1011,1,3.906,3.906,94,0
3.0036e+14,1.1709e+15,2.8731e+15,1.9152e+15,1.143e+15,2.1923e+14,1011,1,4.0687,4.0687,94,0
3.0034e+14,1.1708e+15,2.8729e+15,1.915e+15,1.1429e+15,2.1921e+14,1011,1,4.2315,4.2315,94,0
3.0031e+14,1.1707e+15,2.8726e+15,1.9149e+15,1.1428e+15,2.1919e+14,1011,1,4.3942,4.3942,94,0
3.0027e+14,1.1706e+15,2.8723e+15,1.9146e+15,1.1426e+15,2.1916e+14,1011,1,4.557,4.557,94,0
3.0022e+14,1.1704e+15,2.8717e+15,1.9143e+15,1.1424e+15,2.1912e+14,1011,1,4.7197,4.7197,94,0
