time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,inlet_mean_temp,max_temp_fuel,temp_blanket,temp_fuel
0,0,0,0,0,0,0,0,930,0,0,0
1e-06,8.0216182920922e+20,3.1374287492647e+21,7.8156478297498e+21,5.3686560847756e+21,3.3668838372997e+21,8.138789929945e+20,1980287138.2849,916.85156556177,1104.55375712,924.88913845262,967.0350730388
2.2e-06,8.0216436406187e+20,3.1374388552788e+21,7.8156756144538e+21,5.3686758114772e+21,3.3668936252716e+21,8.1387997632555e+20,1980293315.647,916.85156555964,1104.5537571195,924.88913847057,967.03507303746
3.64e-06,8.0216729734883e+20,3.1374503370142e+21,7.8157046571054e+21,5.3686964285545e+21,3.3669061054246e+21,8.1388186405506e+20,1980300536.2977,916.85156555708,1104.5537571189,924.8891384921,967.03507303611
5.368e-06,8.0217081080008e+20,3.1374640796497e+21,7.815738933198e+21,5.3687201436076e+21,3.3669209708339e+21,8.1388460364417e+20,1980309192.1058,916.85156555401,1104.5537571183,924.88913851795,967.03507303485
7.4416e-06,8.0217503642901e+20,3.1374806057541e+21,7.815780088464e+21,5.3687484216686e+21,3.3669386997631e+21,8.1388820984141e+20,1980319608.2305,916.85156555032,1104.5537571177,924.88913854897,967.03507303384
9.92992e-06,8.0218011675641e+20,3.1375004732138e+21,7.8158295604159e+21,5.3687823842346e+21,3.3669599662305e+21,8.1389278006318e+20,1980332136.6996,916.8515655459,1104.5537571172,924.88913858619,967.03507303338
1.2915904e-05,8.0218621665544e+20,3.1375243268771e+21,7.8158889619104e+21,5.3688231716966e+21,3.3669855127036e+21,8.1389847422567e+20,1980347184.7123,916.8515655406,1104.5537571167,924.88913863086,967.03507303388
1.64990848e-05,8.0219353085416e+20,3.1375529282617e+21,7.8159601901782e+21,5.3688720924943e+21,3.3670161735178e+21,8.139054958361e+20,1980365233.0065,916.85156553423,1104.5537571163,924.88913868448,967.03507303603
2.079890176e-05,8.0220229086913e+20,3.1375871827322e+21,7.8160454995285e+21,5.3689306944868e+21,3.367052921251e+21,8.1391408369448e+20,1980386852.9492,916.85156552659,1104.5537571163,924.88913874882,967.03507304081
