"group1","group2","group3","group4","group5","group6","temp","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0944e+14,1.2184e+15,2.9944e+15,2.031e+15,1.2652e+15,2.9288e+14,1063.2,1,0,0,94,0
3.0941e+14,1.2183e+15,2.9942e+15,2.0309e+15,1.2651e+15,2.9285e+14,1063.2,1,0.16275,0.16275,94,0
3.0939e+14,1.2182e+15,2.9939e+15,2.0307e+15,1.265e+15,2.9283e+14,1063.2,1,0.3255,0.3255,94,0
3.0936e+14,1.2181e+15,2.9937e+15,2.0305e+15,1.2649e+15,2.9281e+14,1063.1,1,0.48825,0.48825,94,0
3.0934e+14,1.218e+15,2.9934e+15,2.0303e+15,1.2648e+15,2.9278e+14,1063.1,1,0.651,0.651,94,0
3.0931e+14,1.2179e+15,2.9931e+15,2.0302e+15,1.2647e+15,2.9276e+14,1063.1,1,0.81375,0.81375,94,0
3.0928e+14,1.2178e+15,2.9929e+15,2.03e+15,1.2646e+15,2.9273e+14,1063.1,1,0.9765,0.9765,94,0
3.0926e+14,1.2177e+15,2.9926e+15,2.0298e+15,1.2645e+15,2.9271e+14,1063.1,1,1.1393,1.1393,94,0
3.0923e+14,1.2176e+15,2.9924e+15,2.0297e+15,1.2644e+15,2.9268e+14,1063.1,1,1.302,1.302,94,0
3.0921e+14,1.2175e+15,2.9921e+15,2.0295e+15,1.2643e+15,2.9266e+14,1063.1,1,1.4648,1.4648,94,0
3.0918e+14,1.2174e+15,2.9919e+15,2.0293e+15,1.2642e+15,2.9263e+14,1063.1,1,1.6275,1.6275,94,0
3.0915e+14,1.2173e+15,2.9916e+15,2.0291e+15,1.2641e+15,2.9261e+14,1063.1,1,1.7902,1.7902,94,0
3.0913e+14,1.2172e+15,2.9914e+15,2.029e+15,1.264e+15,2.9259e+14,1063.1,1,1.953,1.953,94,0
3.091e+14,1.2171e+15,2.9911e+15,2.0288e+15,1.2639e+15,2.9256e+14,1063.1,1,2.1158,2.1158,94,0
